Name,Twitter Handle,Total Tweets,Total Retweets,Total followings,Total Followers,User Id,User Verified,User Location,Date of tweet,Tweet id,Tweet Text,Tweet Retweet Status,Tweet Reply To Id
William Lynes MD,wlynesmd,5638,0,9460,10319,177291959,False,Temecula California,2016-04-02 23:30:28,716407482252402689,Turn to https//tco/WyzuELiptt for all your medical mystery and fiction reading #writetip #realdonaldtrump https//tco/jjjxJfqPBs,False,
Bennie E,Benelliot3,458,0,138,76,713552572158574592,False,"Missouri, USA",2016-04-02 23:21:40,716405268813197314,Excellent video explaining #Cruz connection with the North American UnionPlease RTVIDEOhttps//tco/DsNVTrWt1h#realdonaldtrump #TedCruz,False,
一寸の虫と同じ五分の魂@民主社会主義希望,hino_m,178200,0,1000,1859,81894021,False,武州金澤（神奈川県久良岐郡金澤町）,2016-04-02 23:16:04,716403859527229440,Most Japanese was deceived by PMAbe MakeJapanGreatAgainin the end of 2012You should not take second mistake again #RealDonaldTrump,False,
Emily,1516Emily,114,1,78,87,1133041526,False,,2016-04-02 23:09:43,716402260322951168,DT reeling in delegates https//tco/mkYlAEnduM Reaching hearts &amp minds Strategizing #trump #realdonaldtrump #MakeAmericaGreatAgain,False,
Ronald,RonaldNJPoem,497,0,1,44,2950557665,False,Central Jersey Shore ,2016-04-02 23:05:06,716401099155120128,Emperor #Obama finds it OK to insults#realDonaldTrump on TV at Nuke MeetsNothing changes Hussain Obama hates Americans@CNN @seanhannity,False,
Emily,1516Emily,114,0,78,87,1133041526,False,,2016-04-02 23:02:52,716400534719217664,Belgium endorses DT https//tco/gFzXTayKBa #trump #realdonaldtrump #MakeAmericaGreatAgain,False,
Maria εὐχαριστέω,vondrachek,32391,1,3841,1791,543028480,False,,2016-04-02 23:00:57,716400053443698688,RT @RiseToAmerica @PamelaAllenRN @vondrachek @FoxNews I dropped #FoxNews 2 mo ago too Ad nauseam coverage on #realDonaldTrump #NeverTrump,False,
William Lynes MD,wlynesmd,5638,0,9460,10319,177291959,False,Temecula California,2016-04-02 23:00:39,716399978625810436,606 University a Lee W Hickok medical mystery with a sudden twist #writetip #realdonaldtrump https//tco/jjjxJfqPBs,False,
RiseToAmerica,RiseToAmerica,736,1,7,127,703996252669652993,False,"Alaska, USA",2016-04-02 22:59:57,716399803706384384,@PamelaAllenRN @vondrachek @FoxNews I dropped #FoxNews 2 mo ago too Ad nauseam coverage on #realDonaldTrump #NeverTrump,False,794994679
Jen,jenchris23,3,0,48,8,562197340,False,,2016-04-02 22:56:07,716398838982938624,#realdonaldtrumpBernie feel the burn I feel the burn alright Right in my wallet where my money used to be https//tco/urOAXchZof,False,
D.D.V.R.,Dulcerengel,103437,1,2774,1704,144551747,False,Venezuela,2016-04-02 22:55:23,716398651921268736,RT @wlynesmd For all of your medical mysteries turn to https//tco/bjW50S4miH #writetip #realdonaldtrump https//tco/jjjxJfqPBs,False,
D.D.V.R.,Dulcerengel,103437,1,2774,1704,144551747,False,Venezuela,2016-04-02 22:55:21,716398643851444224,RT @wlynesmd Luger Rounds a curious hospital mystery turned lethal #writetip #realdonaldtrump https//tco/jjjxJfqPBs,False,
D.D.V.R.,Dulcerengel,103437,1,2774,1704,144551747,False,Venezuela,2016-04-02 22:55:18,716398631176298498,RT @wlynesmd A darling story of faith Pirates Scoundrels and Kings #writetip #realdonaldtrump https//tco/jjjxJfqPBs,False,
D.D.V.R.,Dulcerengel,103437,3,2774,1704,144551747,False,Venezuela,2016-04-02 22:55:13,716398609680490498,RT @wlynesmd Lee W Hickok a fastpaced story of medical mystery #writetip #realdonaldtrump https//tco/jjjxJfqPBs,False,
D.D.V.R.,Dulcerengel,103437,1,2774,1704,144551747,False,Venezuela,2016-04-02 22:55:11,716398600809488388,RT @wlynesmd For all medical mysteries check out the best source https//tco/bjW50S4miH #writetip #realdonaldtrump https//tco/jjjxJfqP,False,
D.D.V.R.,Dulcerengel,103437,1,2774,1704,144551747,False,Venezuela,2016-04-02 22:55:09,716398593112981505,RT @wlynesmd Luger Rounds a curious medical mystery with a twist #writetip #realdonaldtrump https//tco/jjjxJfqPBs,False,
D.D.V.R.,Dulcerengel,103437,1,2774,1704,144551747,False,Venezuela,2016-04-02 22:55:04,716398574813241344,RT @wlynesmd Pirates Scoundrels and Kings an adventure/fantasy touching story of faith #writetip #realdonaldtrump https//tco/jjjxJfqPBs,False,
Sock Puppet,puppet_ebooks,67361,0,19,104,2678195041,False,,2016-04-02 22:54:00,716398302866964480,Chicago majority nonwhite city off to phase out name #realDonaldTrump Im part Cherokee BS is funny Love the alt right is completely,False,
