Name,Twitter Handle,Total Tweet,Total Following,Tolat Followers,UserID,User Verified,User Location,User Description,Date of Tweet,Tweet ID,Tweet Text,Tweet_Lang,Tweet Source,Tweet ReTweet Status,Tweet  Reply To Name,Tweet  Reply To ID
Donald J. Trump,realDonaldTrump,34069,40,16489699,25073877,True,"New York, NY",President-elect of the United States,2016-11-02 13:11:06,793802617428160513,"""@Ravenrantz: #Billygraham's grand daughter #SupportsTrump https://t.co/sKz1SPHzDZ""  So nice, thank you Cissy Graham Lynch!!!!",en,Twitter for Android,False,,
Donald J. Trump,realDonaldTrump,34069,40,16489699,25073877,True,"New York, NY",President-elect of the United States,2016-11-02 13:18:39,793804514583252992,"""@PYNance: Evangelical women live at #trumptower @pdpryor1 @CissieGLynch @SaysGabrielle https://t.co/k5kGXPR2WA""",en,Twitter for Android,False,,
Donald J. Trump,realDonaldTrump,34069,40,16489699,25073877,True,"New York, NY",President-elect of the United States,2016-11-02 14:37:03,793824247168765952,Praying for the families of the two Iowa police who were ambushed this morning. An attack on those who keep us safe is an attack on us all.,en,Twitter for iPhone,False,,
Donald J. Trump,realDonaldTrump,34069,40,16489699,25073877,True,"New York, NY",President-elect of the United States,2016-11-02 17:15:30,793864122987323393,"Thank you Miami! In 6 days, we are going to WIN the GREAT STATE of FLORIDA - and we are going to win back the White… https://t.co/MKYPOp0MeD",en,Twitter for iPhone,False,,
Donald J. Trump,realDonaldTrump,34069,40,16489699,25073877,True,"New York, NY",President-elect of the United States,2016-11-02 18:57:07,793889694064967680,"""It pays to have friends in high places- like the Justice Department. Clearly the Clintons do."" 
#DrainTheSwamp! https://t.co/KZXB4B156M",en,Twitter for iPhone,False,,
Donald J. Trump,realDonaldTrump,34069,40,16489699,25073877,True,"New York, NY",President-elect of the United States,2016-11-02 18:58:34,793890059510505472,"Clinton camp fumed when surrogate told supporters Clinton planned to betray labor on TPP post-election: 
https://t.co/ZZjbGDZP7e",en,Twitter for iPhone,False,,
Donald J. Trump,realDonaldTrump,34069,40,16489699,25073877,True,"New York, NY",President-elect of the United States,2016-11-02 19:09:28,793892802040041472,"After decades of lies and scandal, Crooked Hillary's corruption is closing in. #DrainTheSwamp! https://t.co/YivCacmkKq",en,Twitter for iPhone,False,,
Donald J. Trump,realDonaldTrump,34069,40,16489699,25073877,True,"New York, NY",President-elect of the United States,2016-11-02 21:30:24,793928267250171904,"Thank you Orlando, Florida! We are just six days away from delivering justice for every forgotten man, woman and ch… https://t.co/LPXBQZ5AXt",en,Twitter for iPhone,False,,
Donald J. Trump,realDonaldTrump,34069,40,16489699,25073877,True,"New York, NY",President-elect of the United States,2016-11-02 23:34:23,793959470585913345,#MakeAmericaGreatAgain #6Days https://t.co/eHTGIEpFsm,und,Twitter for iPhone,False,,
Donald J. Trump,realDonaldTrump,34069,40,16489699,25073877,True,"New York, NY",President-elect of the United States,2016-11-03 03:44:39,794022452233781248,RT @T_Lineberger: Thanks @IvankaTrump for coming to help win Michigan! More people here than a Hillary rally with less than 24 hours notice…,en,Twitter for iPhone,False,,
Donald J. Trump,realDonaldTrump,34069,40,16489699,25073877,True,"New York, NY",President-elect of the United States,2016-11-03 03:55:49,794025263604625409,"Thank you Arlene! We will MAKE AMERICA SAFE AND GREAT AGAIN! 
#ImWithYou #DrainTheSwamp 
https://t.co/tSI0YP2LL9",en,Twitter for iPhone,False,,
Donald J. Trump,realDonaldTrump,34069,40,16489699,25073877,True,"New York, NY",President-elect of the United States,2016-11-03 12:27:27,794154017983238145,"My wife, Melania, will be speaking in Pennsylvania this afternoon. So exciting, big crowds! I will be watching from North Carolina.",en,Twitter for Android,False,,
Donald J. Trump,realDonaldTrump,34069,40,16489699,25073877,True,"New York, NY",President-elect of the United States,2016-11-03 12:34:14,794155725152980992,"ObamaCare is a total disaster. Hillary Clinton wants to save it by making it even more expensive. Doesn't work, I will REPEAL AND REPLACE!",en,Twitter for Android,False,,
Donald J. Trump,realDonaldTrump,34069,40,16489699,25073877,True,"New York, NY",President-elect of the United States,2016-11-03 15:19:12,794197242471124992,Looking at Air Force One @ MIA. Why is he campaigning instead of creating jobs &amp; fixing Obamacare? Get back to work for the American people!,en,Twitter for iPhone,False,,
Donald J. Trump,realDonaldTrump,34069,40,16489699,25073877,True,"New York, NY",President-elect of the United States,2016-11-03 19:25:37,794259252613414915,"Watching my beautiful wife, Melania, speak about our love of country and family. We will make you all very proud.… https://t.co/DiKmSnTlC2",en,Twitter for iPhone,False,,
Donald J. Trump,realDonaldTrump,34069,40,16489699,25073877,True,"New York, NY",President-elect of the United States,2016-11-03 20:52:52,794281211963338752,"Thank you Concord, North Carolina! When WE win on November 8th, we are going to Washington, D.C. and we are going t… https://t.co/7j4MBn1Waf",en,Twitter for iPhone,False,,
Donald J. Trump,realDonaldTrump,34069,40,16489699,25073877,True,"New York, NY",President-elect of the United States,2016-11-03 20:55:36,794281898570825728,#CrookedHillary is unfit to serve. https://t.co/bSuGvInNF1,en,Twitter for iPhone,False,,
Donald J. Trump,realDonaldTrump,34069,40,16489699,25073877,True,"New York, NY",President-elect of the United States,2016-11-03 21:28:01,794290058685661184,"Join me in Wilmington, Ohio tomorrow at 4:00pm! It is time to #DrainTheSwamp! Tickets: https://t.co/eCLECM3nmW https://t.co/sb5irRxjxJ",en,Twitter for iPhone,False,,
Donald J. Trump,realDonaldTrump,34069,40,16489699,25073877,True,"New York, NY",President-elect of the United States,2016-11-03 23:30:17,794320826237644805,"RT @PaulaReidCBS: .@CBSNews confirms FBI found emails on #AnthonyWeiner computer, related to Hillary Clinton server, that are ""new"" &amp; not p…",en,Twitter for iPhone,False,,
Donald J. Trump,realDonaldTrump,34069,40,16489699,25073877,True,"New York, NY",President-elect of the United States,2016-11-04 02:35:08,794367345359732740,"There is no challenge too great, no dream outside of our reach! Thank you Selma, North Carolina!
#ICYMI, watch here… https://t.co/8uIrhgYRsl",en,Twitter for iPhone,False,,
Donald J. Trump,realDonaldTrump,34069,40,16489699,25073877,True,"New York, NY",President-elect of the United States,2016-11-04 15:32:31,794562979652128772,"Join me today in Wilmington, Ohio at 4pm: https://t.co/eCLECMkYLw

Tomorrow- Tampa, Florida at 10am: https://t.co/N9380pVmuM",en,Twitter for iPhone,False,,
Donald J. Trump,realDonaldTrump,34069,40,16489699,25073877,True,"New York, NY",President-elect of the United States,2016-11-04 16:17:22,794574267878928384,"""The Clinton Campaign at Obama Justice"" #DrainTheSwamp
https://t.co/LZkvFc071z",en,Twitter for iPhone,False,,
Donald J. Trump,realDonaldTrump,34069,40,16489699,25073877,True,"New York, NY",President-elect of the United States,2016-11-04 16:26:19,794576519955939328,RT @TeamTrump: Mrs. Saucier's son is in prison for having classified info on an unsecured device. @HillaryClinton did FAR WORSE &amp; is runnin…,en,Twitter for iPhone,False,,
Donald J. Trump,realDonaldTrump,34069,40,16489699,25073877,True,"New York, NY",President-elect of the United States,2016-11-04 16:28:36,794577092453212160,"Clinton Aides: ‘Definitely’ Not Releasing Some HRC Emails:
https://t.co/GY5pGKaDoW",en,Twitter for iPhone,False,,
Donald J. Trump,realDonaldTrump,34069,40,16489699,25073877,True,"New York, NY",President-elect of the United States,2016-11-04 18:46:42,794611850499489793,"Thank you NH! We will end illegal immigration, stop the drugs, deport all criminal aliens&amp;save American lives! Watc… https://t.co/uxcazVkb32",en,Twitter for iPhone,False,,
Donald J. Trump,realDonaldTrump,34069,40,16489699,25073877,True,"New York, NY",President-elect of the United States,2016-11-04 18:56:15,794614251709169664,"'ICE OFFICERS WARN HILLARY IMMIGRATION PLAN WILL UNLEASH GANGS, CARTELS &amp; DRUG VIOLENCE NATIONWIDE'… https://t.co/09aSrBwQrv",en,Twitter for iPhone,False,,
Donald J. Trump,realDonaldTrump,34069,40,16489699,25073877,True,"New York, NY",President-elect of the United States,2016-11-04 19:07:20,794617042888491008,"If Obama worked as hard on straightening out our country as he has trying to protect and elect Hillary, we would all be much better off!",en,Twitter for iPhone,False,,
Donald J. Trump,realDonaldTrump,34069,40,16489699,25073877,True,"New York, NY",President-elect of the United States,2016-11-04 20:33:12,794638650382368768,"Join me live in Wilmington, Ohio!
https://t.co/nQ2p4EulLu",en,Twitter for iPhone,False,,
Donald J. Trump,realDonaldTrump,34069,40,16489699,25073877,True,"New York, NY",President-elect of the United States,2016-11-04 23:14:59,794679364289986560,Thank you Ohio! VOTE so we can replace Obamacare and save healthcare for every family in the United States! Watch:… https://t.co/7CH8ZnGdOa,en,Twitter for iPhone,False,,
Donald J. Trump,realDonaldTrump,34069,40,16489699,25073877,True,"New York, NY",President-elect of the United States,2016-11-04 23:31:28,794683513853382656,The only thing that can stop this corrupt machine is YOU. The only force strong enough to save our country is US.… https://t.co/7dcSHOkuzc,en,Twitter for iPhone,False,,
Donald J. Trump,realDonaldTrump,34069,40,16489699,25073877,True,"New York, NY",President-elect of the United States,2016-11-04 23:50:57,794688416663437312,"Join me live in Hershey, Pennsylvania! 
#MakeAmericaGreatAgain 
LIVE: https://t.co/xEj6sZpb12 https://t.co/JWfGI1vlwW",en,Twitter for iPhone,False,,
Donald J. Trump,realDonaldTrump,34069,40,16489699,25073877,True,"New York, NY",President-elect of the United States,2016-11-04 23:57:37,794690094594740224,"Join me in Denver, Colorado tomorrow at 9:30pm!
Tickets: https://t.co/LJYGIK7Mri",en,Twitter for iPhone,False,,
